lsl_ts,recv_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,marker,trial_index,session_id
26359.183270800004,1779031948.3382967,-127682.484375,-128084.75,-127817.15625,-128283.0078125,-127950.703125,-128010.609375,-127957.5234375,-128071.203125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.187270800005,1779031948.3383076,-127676.71875,-128090.15625,-127827.1015625,-128816.140625,-127912.890625,-127971.25,-127982.890625,-128074.0234375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.191270800005,1779031948.3383572,-127678.796875,-128100.3984375,-127847.7109375,-129006.0234375,-127931.546875,-127890.3984375,-128006.0234375,-128080.7734375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.195270800006,1779031948.3384128,-127625.265625,-128072.1171875,-127850.546875,-128937.3125,-128080.4765625,-127648.5546875,-127987.203125,-128087.4296875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.199270800007,1779031948.3384316,-127662.1640625,-127993.1484375,-127867.0,-128813.171875,-128130.3046875,-127612.546875,-127959.0859375,-128078.7109375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.203270800008,1779031948.338442,-127852.7578125,-127950.9765625,-127828.9375,-128734.6953125,-127987.0703125,-127727.8828125,-127948.828125,-128067.625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.20727080001,1779031948.338492,-127889.796875,-127950.1484375,-127828.7578125,-128702.53125,-127925.25,-127899.2265625,-127965.1015625,-128071.6484375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.1980139,1779031948.338537,-127872.8515625,-127940.875,-127827.8125,-128659.3203125,-127970.8203125,-128055.734375,-127967.515625,-128076.3203125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.2020139,1779031948.338554,-127832.109375,-127901.3515625,-127847.59375,-128579.9296875,-128074.8046875,-128163.9453125,-127958.4609375,-128078.15625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.206013900002,1779031948.3385637,-127764.6015625,-127832.3984375,-127864.921875,-128466.875,-128096.0390625,-128266.1796875,-127954.953125,-128075.359375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.210013900003,1779031948.3386064,-127736.953125,-127813.015625,-127822.34375,-128411.109375,-127935.59375,-128548.03125,-127959.421875,-128063.2890625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.214013900004,1779031948.3386524,-127746.921875,-127834.2734375,-127848.734375,-128402.5234375,-127918.0703125,-128613.65625,-128000.9296875,-128070.4921875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.218013900005,1779031948.3386664,-127753.4296875,-127847.0390625,-127872.921875,-128381.6484375,-127927.28125,-128569.625,-128026.90625,-128080.1484375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.222013900006,1779031948.338676,-127739.5703125,-127833.625,-127868.2265625,-128328.7421875,-127991.6953125,-128489.609375,-128013.15625,-128084.9765625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.226013900006,1779031948.3386853,-127706.0234375,-127797.125,-127837.7421875,-128247.984375,-127997.15625,-128380.1953125,-127967.78125,-128078.0625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.230013900007,1779031948.3387308,-127699.7890625,-127797.171875,-127848.578125,-128213.0234375,-127915.5,-128325.921875,-127980.6328125,-128070.625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.234013900008,1779031948.338745,-127713.7578125,-127821.3984375,-127886.515625,-128207.953125,-127925.2265625,-128303.4375,-128027.9765625,-128079.875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.2502409,1779031948.3387547,-127720.7265625,-127835.28125,-127911.1875,-128188.0625,-127931.078125,-128262.9140625,-128054.8671875,-128088.546875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.2542409,1779031948.3388019,-127705.0625,-127817.2421875,-127905.7109375,-128120.7109375,-128005.625,-128185.78125,-128041.6328125,-128092.4140625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.258240900002,1779031948.3388143,-127625.53125,-127635.1015625,-127859.328125,-127847.8671875,-128076.65625,-128064.5234375,-127982.1796875,-128093.2421875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.262240900003,1779031948.338845,-127670.078125,-127577.09375,-127823.859375,-127862.0625,-127998.765625,-127954.7265625,-127954.546875,-128083.6953125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.266240900004,1779031948.3388567,-127852.1796875,-127782.484375,-127842.1640625,-128164.96875,-128022.859375,-127736.734375,-127956.515625,-128085.9375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.270240900005,1779031948.3388875,-127843.84375,-128019.4140625,-127878.9765625,-128544.2578125,-128090.40625,-127640.734375,-127961.4140625,-128088.0546875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.274240900006,1779031948.3388991,-127777.3046875,-128366.09375,-127875.6953125,-128912.296875,-128103.2578125,-127714.875,-127960.046875,-128084.4609375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.278240900006,1779031948.3389297,-127706.3828125,-128443.09375,-127866.1953125,-128854.140625,-128095.453125,-127778.375,-127953.8828125,-128074.78125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.282240900007,1779031948.3389409,-127668.4921875,-128412.25,-127809.421875,-128786.546875,-127949.96875,-127907.1875,-127945.765625,-128063.5625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.286240900008,1779031948.338971,-127644.21875,-128409.5859375,-127814.625,-128754.515625,-127926.40625,-128078.421875,-127964.40625,-128069.4375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.2896481,1779031948.3389823,-127632.078125,-128388.640625,-127825.515625,-128699.8671875,-128011.8828125,-128251.1171875,-127959.515625,-128076.2578125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.2936481,1779031948.3390126,-127811.765625,-128343.3125,-127840.8671875,-128613.546875,-128053.3203125,-128504.515625,-127951.0859375,-128075.453125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.2976481,1779031948.3390236,-127859.171875,-128293.0703125,-127829.6484375,-128519.2890625,-128017.203125,-128492.375,-127941.5,-128066.640625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.3016481,1779031948.3391213,-127848.3984375,-128286.8515625,-127813.109375,-128478.5390625,-127922.5234375,-128428.6953125,-127952.9375,-128060.3203125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.305648100002,1779031948.4543972,-127862.90625,-128312.15625,-127849.09375,-128474.046875,-127923.8359375,-128405.765625,-128000.4609375,-128069.171875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.309648100003,1779031948.4545054,-127869.703125,-128326.2578125,-127875.6484375,-128453.8203125,-127930.5859375,-128365.1953125,-128031.21875,-128078.421875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.313648100004,1779031948.4545176,-127855.640625,-128313.296875,-127871.109375,-128401.5625,-127986.46875,-128287.7890625,-128021.8515625,-128082.46875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.317648100005,1779031948.4545274,-127820.5078125,-128274.921875,-127838.1015625,-128319.484375,-128001.828125,-128178.265625,-127976.0546875,-128074.0390625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.321648100005,1779031948.4545372,-127809.7109375,-128270.6484375,-127843.796875,-128279.0546875,-127924.484375,-128119.59375,-127983.65625,-128062.375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.325648100006,1779031948.4545465,-127823.28125,-128294.5859375,-127881.484375,-128274.515625,-127927.1484375,-128099.0546875,-128030.6796875,-128072.296875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.3294231,1779031948.4545557,-127832.0625,-128309.5625,-127908.53125,-128256.2578125,-127933.0234375,-128063.0234375,-128060.2265625,-128081.3515625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.3334231,1779031948.4545646,-127820.015625,-128298.390625,-127905.4453125,-128205.625,-127984.703125,-127969.5703125,-128050.53125,-128090.3359375,REST,,019e3690-f645-761b-925e-75f7c656582e
